RecipientEmail,Gender,BirthYear,Race,Nationality,Relationship,Childhood_HH_Size,Current_HH_Size,Residential_Area_Type,Num_lang,Curiosity,Conscientousness,Extraversion,Agreeableness,Confidence
6,Male,1968,Asian,United States of America,In a relationship more than 1 year,6,5,Suburban ,4,4,4,1,1,5
49,Female,1978,Asian,United States of America,In a relationship more than 1 year,5,4,Suburban ,2,5,6,3,3,5
67,Female,1988,White,Australia,In a relationship more than 1 year,5,2,Suburban ,1,4,6,2,4,4
66,Female,1967,Asian,India,In a relationship more than 1 year,4,4,Suburban ,3,3,6,2,5,5
38,Male,1988,Asian,China,In a relationship more than 1 year,3,2,Urban ,2,5,5,4,5,5
58,Female,1989,Asian,China,In a relationship more than 1 year,3,2,Urban ,2,6,6,3,5,5
16,Female,1975,Asian,India,I do not want to say,5,4,Suburban ,4,4,5,3,5,4
40,Male,1988,Asian,China,In a relationship more than 1 year,3,3,Suburban ,2,5,6,3,3,4
5,Female,1988,Asian,China,In a relationship more than 1 year,4,2,Urban ,2,4,5,4,4,5
33,Male,1988,Asian,China,In a relationship more than 1 year,4,2,Suburban ,2,6,5,3,4,4
44,Female,1988,Asian,China,In a relationship more than 1 year,3,3,Suburban ,2,4,5,5,3,6
35,Male,1988,Asian,China,In a relationship more than 1 year,4,4,Suburban ,3,4,5,2,5,3
47,Male,1988,Asian,China,In a relationship more than 1 year,3,2,Urban ,2,5,5,3,3,5
